,name,ep,lan
3554,Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,Ep 1/1,SUB
3555,High School DxD Hero: Taiikukan-ura no Holy,Ep 1/1,"SUB
DUB"
3556,Dragon Half,Ep 2/2,SUB
3557,Armitage III: Dual-Matrix,Ep Full,"SUB
DUB"
3558,Ao no Exorcist Movie Special,Ep 1/1,"SUB
DUB"
3559,91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow,Ep 1/1,SUB
3560,Invincible Superman Zanbot 3,Ep 23/23,SUB
3561,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikomatic Days,Ep 1/1,"SUB
DUB"
3562,This Boy Can Fight Aliens,Ep 1/1,SUB
3563,Fighting Beauty Wulong Rebirth,Ep 25/25,SUB
3564,Fox Spirit Matchmaker 8th Season,Ep 10/10,SUB
3565,Run Melos!,Ep Full,SUB
3566,Girlish Number,Ep 12/12,SUB
3567,Fate/Kaleid Liner Prisma Illya 2Wei! Shorts,Ep 5/5,SUB
3568,Dragonaut: The Resonance - Kotou - Tozasareta Kyousoo,Ep 1/1,"SUB
DUB"
3569,Dragon Quest: Your Story,Ep Full,SUB
3570,Dragon Quest: Legend of the Hero Abel,Ep 42/42,SUB
3571,Double Decker! Doug & Kirill,Ep 13/13,"SUB
DUB"
3572,Digimon Frontier: Island of Lost Digimon,Ep Full,SUB
3573,Bomberman Jetters,Ep 52/52,SUB
3574,Binbou Shimai Monogatari,Ep 10/10,SUB
3575,Wushen Zhuzai,Ep 373/384,SUB
3576,Didn't I Say to Make My Abilities Average in the Next Life?!,Ep 12/12,"SUB
DUB"
3577,[RAW] Tottemo! Luckyman,Ep 50/50,
3578,Miss caretaker of Sunohara-sou,Ep 12/12,"SUB
DUB"
3579,Show By Rock!! Mashumairesh!!,Ep 12/12,"SUB
DUB"
3580,Shirobako Specials,Ep 2/2,SUB
3581,Blade of the Phantom Master,Ep Full,"SUB
DUB"
3582,Night Raid 1931 Specials,Ep 3/3,"SUB
DUB"
3583,Night Raid 1931,Ep 13/13,"SUB
DUB"
3584,Rockman.EXE Beast+,Ep 26/26,SUB
3585,Overman King Gainer,Ep 26/26,"SUB
DUB"
3586,Fantasy of a Kitten,Ep Full,SUB
3587,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2,Ep 3/3,SUB
3588,Please Twins,Ep 13/12,DUB
3589,Noblesse,Ep 13/13,"SUB
DUB"
3590,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Ep Full,SUB
3591,Naruto the Movie 2: Legend of the Stone of Gelel,Ep Full,SUB
3592,Myriad Colors Phantom World,Ep 13/13,"SUB
DUB"
3593,"Katri, Girl of the Meadows",Ep 49/49,SUB
3594,Ling Jian Zun 3rd Season,Ep 40/40,SUB
3595,RIN-NE,Ep 25/25,SUB
3596,Asteroid in Love,Ep 12/12,"SUB
DUB"
3597,Kiratto Pri☆chan,Ep 51/51,SUB
3598,Kanamemo,Ep 13/13,SUB
3599,Strawberry 100%,Ep 1/1,SUB
3600,Sadamitsu the Destroyer,Ep 10/10,SUB
3601,Graveyard Kitaro,Ep 11/11,SUB
3602,Galaxy Angel S,Ep 1/1,SUB
3603,Locodol,Ep 13/12,SUB
3604,Fate/stay night TV Reproduction,Ep 2/2,SUB
3605,Dragon Ball Movie 03: Mystical Adventure,Ep Full,"SUB
DUB"
3606,Doraemon Movie 06: Nobita's Little Space War,Ep Full,SUB
3607,Dagashi Kashi 2,Ep 12/12,"SUB
DUB"
3608,Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,Ep Full,SUB
3609,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,Ep 7/7,SUB
3610,Otogi Zoshi: The Legend of Magatama,Ep 26/26,SUB
3611,Muromi-san,Ep 13/13,SUB
3612,The Magician's Academy,Ep 12/12,SUB
3613,Lupin III: The Last Job,Ep 1/1,"SUB
DUB"
3614,Ling Jian Zun,Ep 30/30,SUB
3615,Zenki,Ep 51/51,"SUB
DUB"
3616,KimiKiss Pure Rouge: Love Fighter,Ep 1/1,SUB
3617,A Town Where You Live,Ep 12/12,SUB
3618,IS: Infinite Stratos 2 - World Purge,Ep 1/1,"SUB
DUB"
3619,Huyao Xiao Hongniang: Jin Chenxi,Ep 10/10,SUB
3620,Harmony,Ep Full,"SUB
DUB"
3621,Grisaia: Phantom Trigger The Animation,Ep 2/2,SUB
3622,Gamers!,Ep 12/12,"SUB
DUB"
3623,El-Hazard: The Wanderers,Ep 26/26,SUB
3624,Beet the Vandel Buster,Ep 52/52,SUB
3625,3x3 Eyes: Legend of the Divine Demon,Ep 3/3,SUB
3626,"Naruto OVA5: Naruto, The Genie, and The Three Wishes!!",Ep 1/1,SUB
3627,Shinzo,Ep 19/32,"SUB
DUB"
3628,Maria†Holic Alive,Ep 12/12,"SUB
DUB"
3629,Negima!,Ep 26/26,"SUB
DUB"
3630,Android Kikaider,Ep 13/13,"SUB
DUB"
3631,Antidote,Ep 13/13,SUB
3632,Sonny Boy & Dewdrop Girl,Ep Full,SUB
3633,Saiyuki Interactive,Ep 1/1,SUB
3634,Tales from Earthsea,Ep Full,"SUB
DUB"
3635,Fate/Kaleid Liner Prisma Illya 2Wei Herz! Shorts,Ep 5/5,SUB
3636,Armed Girl's Machiavellism,Ep 12/12,"SUB
DUB"
3637,Bleach: The Sealed Sword Frenzy,Ep 1/1,SUB
3638,Blade Runner: Black Out 2022,Ep 1/1,SUB
3639,Sailor Moon Crystal: Season I & II,Ep 26/26,"SUB
DUB"
3640,Battle Spirits: Shounen Gekiha Dan,Ep 50/50,SUB
3641,Hans Christian Anderson's The Little Mermaid,Ep Full,"SUB
DUB"
3642,Urusei Yatsura Movie 3: Remember My Love,Ep Full,"SUB
DUB"
3643,UFO Ultramaiden Valkyrie 2: December Nocturne,Ep 12/12,"SUB
DUB"
3644,Tekkaman Blade: Twin Blood,Ep 1/1,SUB
3645,Mew Mew Power,Ep 52/52,"SUB
DUB"
3646,Tiger Mask W,Ep 38/38,SUB
3647,Legend of Exorcism 2nd Season,Ep 13/13,SUB
3648,Stop!! Hibari-kun!,Ep 35/35,SUB
3649,Aura Battler Dunbine,Ep 49/49,SUB
3650,Mega Man Star Force Tribe,Ep 21/21,SUB
3651,Lagrange: The Flower of Rin-ne Season 2,Ep 12/12,"SUB
DUB"
3652,Renkin San-kyuu Magical? Pokaan,Ep 12/12,SUB
3653,"Wake Up, Girls!",Ep 12/12,SUB
3654,UzaMaid!,Ep 12/12,SUB
3655,Attack on Titan: Junior High,Ep 12/12,"SUB
DUB"
3656,Project ARMS,Ep 26/26,"SUB
DUB"
3657,Pokemon The Movie 07: Destiny Deoxys,Ep Full,"SUB
DUB"
3658,Nana: Special Recaps,Ep 3/3,SUB
3659,Lupin III: The Secret of Mamo,Ep Full,"SUB
DUB"
3660,Lupin III: Harimao no Zaihou wo Oe!!,Ep 1/1,"SUB
DUB"
3661,Vampire Princess Miyu,Ep 4/4,"SUB
DUB"
3662,Clean Freak! Aoyama-kun,Ep 12/12,SUB
3663,"Iriya no Sora, UFO no Natsu",Ep 6/6,"SUB
DUB"
3664,Inazuma Eleven Go,Ep 47/47,SUB
3665,Pretty Cure,Ep 49/49,SUB
3666,Doraemon Movie 08: Nobita and the Knights on Dinosaurs,Ep Full,SUB
3667,Dog Days'',Ep 12/12,SUB
3668,Dog Days,Ep 13/13,SUB
3669,Digimon Tamers: Battle of Adventurers,Ep Full,"SUB
DUB"
3670,Devil May Cry,Ep 12/12,"SUB
DUB"
3671,Deadman Wonderland: Akai Knife Tsukai,Ep 1/1,"SUB
DUB"
3672,Brotherhood: Final Fantasy XV,Ep 5/5,SUB
3673,Astro Boy (2003),Ep 50/50,SUB
3674,Anne-Happy,Ep 12/12,SUB
3675,Aim for the Ace!,Ep 26/26,SUB
3676,.hack//Sign,Ep 26/26,"SUB
DUB"
3677,Magical Girl Raising Project,Ep 12/12,"SUB
DUB"
3678,Lupin III: Twilight Gemini no Himitsu,Ep 1/1,"SUB
DUB"
3679,In/Spectre,Ep 12/12,"SUB
DUB"
3680,Koutetsu Jeeg,Ep 46/46,SUB
3681,This Boy Suffers From Crystallization,Ep 1/1,SUB
3682,Kill Me Baby: Butsuzou Kegatte Nise Halloween,Ep 1/1,SUB
3683,Gunslinger Girl: Il Teatrino OVA,Ep 2/2,"SUB
DUB"
3684,GUNDAM BUILD DIVERS Re:RISE,Ep 13/13,"SUB
DUB"
3685,Dr. Slump,Ep 74/74,
3686,Sugar: A Little Snow Fairy Summer Special,Ep 2/2,"SUB
DUB"
3687,Aldnoah.Zero 2nd Season,Ep 12/12,"SUB
DUB"
3688,A Day Before Us 2,Ep 15/15,SUB
3689,Tsukuyomi: Moon Phase,Ep 26/26,"SUB
DUB"
3690,TO BE HERO,Ep 12/12,SUB
3691,Starship Operators,Ep 13/13,"SUB
DUB"
3692,The Testament of Sister New Devil OVA,Ep 1/1,"SUB
DUB"
3693,"Corpse Princess: Kuro - Even So, As a Person",Ep 1/1,"SUB
DUB"
3694,Rosario + Vampire 2nd Season,Ep 13/13,"SUB
DUB"
3695,Peach Girl: Super Pop Love Hurricane,Ep 25/25,"SUB
DUB"
3696,Overlord: Ple Ple Pleiades,Ep 8/8,SUB
3697,Wan Jie Shen Zhu,Ep 60/60,SUB
3698,Strike Witches,Ep 12/12,"SUB
DUB"
3699,The Girl Who Leapt Through Space,Ep 26/26,SUB
3700,Punch Line,Ep 12/12,SUB
3701,Osake wa Fuufu ni Natte kara: Yuzu Atsukan,Ep 1/1,SUB
3702,Orenchi no Furo Jijou,Ep 13/13,SUB
3703,One Piece: Chopper Kingdom of Strange Animal Island,Ep Full,SUB
3704,No Guns Life,Ep 12/12,"SUB
DUB"
3705,Psychic School Wars,Ep Full,"SUB
DUB"
3706,Natsu-iro Kiseki,Ep 12/12,SUB
3707,Legend of Black Heaven,Ep 13/13,DUB
3708,Spellbound! Magical Princess Lilpri,Ep 51/51,SUB
3709,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,Ep Full,SUB
3710,Hyperdimension Neptunia,Ep 13/12,"SUB
DUB"
3711,Anyamal Tantei Kiruminzoo,Ep 50/50,SUB
3712,Murder Princess,Ep 6/6,"SUB
DUB"
3713,Mermaid Melody: Pichi Pichi Pitch,Ep 52/52,SUB
3714,Lupin III: Seven Days Rhapsody,Ep 1/1,"SUB
DUB"
3715,Lost Universe,Ep 26/26,DUB
3716,Your Voice -KIMIKOE-,Ep Full,SUB
3717,How Not to Summon a Demon Lord,Ep 12/12,"SUB
DUB"
3718,Hitsugi no Chaika OVA,Ep 1/1,DUB
3719,Gatchaman Crowds Insight,Ep 1/1,DUB
3720,Anonymous Noise,Ep 12/12,"SUB
DUB"
3721,Fei Ren Zai,Ep 48/48,SUB
3722,Those Who Hunt Elves,Ep 12/12,DUB
3723,Doraemon Movie 16: Nobita's Diary of the Creation of the World,Ep Full,SUB
3724,Devilman: The Demon Bird,Ep 1/1,"SUB
DUB"
3725,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,Ep Full,SUB
3726,Area 88 (TV),Ep 12/12,"SUB
DUB"
3727,Aki no Kanade,Ep Full,SUB
3728,Aishen Qiaokeli-ing...,Ep 15/15,SUB
3729,Air Master,Ep 27/27,SUB
3730,Ze Tian Ji 4th Season,Ep 12/12,SUB
3731,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",Ep 13/1,SUB
3732,Everlasting Immortal Firmament,Ep 12/12,SUB
3733,UQ Holder!,Ep 12/12,"SUB
DUB"
3734,Sanpei the Fisherman,Ep 109/109,SUB
3735,Thermae Romae,Ep 6/6,"SUB
DUB"
3736,DUNE feat. Hatsune Miku,Ep 1/1,SUB
3737,Show By Rock!! #,Ep 12/12,"SUB
DUB"
3738,Symphogear,Ep 13/13,SUB
3739,Pokemon The Movie 12: Arceus and the Jewel of Life,Ep Full,"SUB
DUB"
3740,Ze Tian Ji 2nd Season,Ep 12/12,SUB
3741,Shin Koihime†Musou: Otome Tairan,Ep 12/12,SUB
3742,Sakura Trick,Ep 12/12,SUB
3743,Red Baron,Ep 49/49,SUB
3744,RahXephon: Pluralitas Concentio,Ep Full,SUB
3745,Paulette's Chair,Ep 1/1,SUB
3746,Ninja Girl & Samurai Master: Anegawa and Ishiyama Arc,Ep 26/26,SUB
3747,Ninkuu,Ep 55/55,SUB
3748,Negima!? Magister Negi Magi,Ep 26/26,"SUB
DUB"
3749,The Guyver: Bio-Booster Armor,Ep 6/6,SUB
3750,Kamen no Maid Guy,Ep 12/12,SUB
3751,Jungle no Ouja Taa-chan,Ep 1/50,
3752,HeatGuy J Special,Ep 1/1,"SUB
DUB"
3753,Hataraki Man,Ep 11/11,SUB
3754,Gravitation,Ep 13/13,"SUB
DUB"
3755,Galaxy Angel,Ep 26/26,"SUB
DUB"
3756,The Wind Guardians,Ep Full,SUB
3757,Crayon Shin-chan Movie 11: Fierceness That Invites Storm! Yakiniku Road of Honor,Ep Full,SUB
3758,My Hero Academia: Make It! Do-or-Die Survival Training,Ep 2/2,SUB
3759,Blue Seed,Ep 26/26,SUB
3760,Akazukin Chacha OVA,Ep 3/3,SUB
3761,Lost Song,Ep 12/12,"SUB
DUB"
3762,Kamisama Dolls,Ep 13/13,"SUB
DUB"
3763,Jarinko Chie,Ep Full,SUB
3764,Hayate the Combat Butler: Can't Take My Eyes Off You,Ep 12/12,SUB
3765,Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,Ep 1/1,SUB
3766,Those Who Hunt Elves II,Ep 12/12,"SUB
DUB"
3767,Doraemon Movie 03: Nobita and the Haunts of Evil,Ep Full,SUB
3768,Classroom☆Crisis,Ep 13/13,SUB
3769,Blue Submarine No. 6,Ep 4/4,"SUB
DUB"
3770,Sky Blue,Ep Full,SUB
3771,"If it's for My Daughter, I'd Even Defeat a Demon Lord",Ep 12/12,"SUB
DUB"
3772,Terra Formars,Ep 13/13,"SUB
DUB"
3773,Slow Start,Ep 12/12,SUB
3774,Show By Rock!!,Ep 12/12,"SUB
DUB"
3775,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,Ep 1/1,SUB
3776,One Piece 3D: Gekisou! Trap Coaster,Ep 1/1,SUB
3777,You're Under Arrest: Mini Specials,Ep 5/5,"SUB
DUB"
3778,Seiyu's Life!,Ep 13/13,SUB
3779,Shin Getter Robo vs. Neo Getter Robo,Ep 4/4,SUB
3780,Roujin Z,Ep Full,"SUB
DUB"
3781,One Piece: Take Aim! The Pirate Baseball King,Ep 1/1,SUB
3782,Neo Angelique Abyss: Second Age,Ep 13/13,SUB
3783,Maria†Holic,Ep 12/12,"SUB
DUB"
3784,Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,Ep 1/1,"SUB
DUB"
3785,This Boy is a Professional Wizard,Ep 4/4,SUB
3786,Kokkoku,Ep 12/12,"SUB
DUB"
3787,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,Ep Full,SUB
3788,Incredible Zorori,Ep 52/52,SUB
3789,Great Mazinger,Ep 56/56,SUB
3790,Koi to Senkyo to Chocolate: Koi Imouto!,Ep 13/1,SUB
3791,Kirakira☆Precure A La Mode,Ep 49/49,SUB
3792,Kinnikuman II Sei: Ultimate Muscle,Ep null/13,DUB
3793,Ultimate Muscle,Ep null/51,DUB
3794,KanColle: Kantai Collection,Ep 12/12,"SUB
DUB"
3795,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,Ep 1/1,SUB
3796,Phoenix: Karma Chapter,Ep Full,SUB
3797,Doraemon Movie 35: Nobita's Space Heroes,Ep Full,SUB
3798,Devil Survivor 2 The Animation,Ep 13/13,"SUB
DUB"
3799,Ultimate Otaku Teacher,Ep 24/24,"SUB
DUB"
3800,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,Ep Full,SUB
3801,Crayon Shin-chan: Action Mask vs. Leotard Devil,Ep Full,SUB
3802,Blood: The Last Vampire,Ep Full,"SUB
DUB"
3803,Cute High Earth Defense Club LOVE!,Ep 12/12,SUB
3804,Battle Athletes Victory,Ep 26/26,"SUB
DUB"
3805,Aikatsu Friends!: Kagayaki no Jewel,Ep 26/26,SUB
3806,Zombie-Loan,Ep 11/11,SUB
3807,Zetman,Ep 13/13,"SUB
DUB"
3808,Ze Tian Ji 3rd Season,Ep 12/12,SUB
3809,Crayon Kingdom of Dreams,Ep 70/70,SUB
3810,Uchitama?! Have you seen my Tama?,Ep 11/11,SUB
3811,Samurai Flamenco,Ep 22/22,SUB
3812,No Guns Life,Ep 12/12,"SUB
DUB"
3813,Yu☆Gi☆Oh! (Movie),Ep Full,DUB
3814,Thermae Romae,Ep 4/2,
3815,Ghost Slayers Ayashi,Ep 30/30,"SUB
DUB"
3816,Tenchi Muyou! Ryououki 2nd Season - Special,Ep 1/1,"SUB
DUB"
3817,Armored Trooper Votoms: Alone Again,Ep 1/1,SUB
3818,Rocket Girls,Ep 12/12,SUB
3819,Renkin San-kyuu Magical? Pokaan Specials,Ep 3/3,SUB
3820,Pokémon the Series: Sun & Moon,Ep 145/145,DUB
3821,Pokemon The Movie 13: Zoroark: Master of Illusions,Ep Full,"SUB
DUB"
3822,Mokke Special Episodes,Ep 2/2,SUB
3823,Mini Van,Ep 37/37,SUB
3824,Katte ni Kaizou,Ep 6/6,SUB
3825,Sunday Without God: Memories,Ep 1/1,"SUB
DUB"
3826,The World God Only Knows: Flag 0,Ep 1/1,DUB
3827,Ichigo 100% Original DVD Animation,Ep 4/4,SUB
3828,I''s Pure,Ep 6/6,SUB
3829,Mirage of Blaze: Rebels of the River Edge,Ep 3/3,"SUB
DUB"
3830,High School Fleet Movie,Ep Full,SUB
3831,Aria the Scarlet Ammo,Ep 12/12,"SUB
DUB"
3832,Futakoi Alternative,Ep 13/13,SUB
3833,Dragon Ball Z: Super Android 13!,Ep Full,"SUB
DUB"
3834,Crayon Shin-chan Movie 03: Unkokusai's Ambition,Ep Full,SUB
3835,Gauche the Cellist,Ep Full,SUB
3836,Back Street Girls: Gokudolls,Ep 10/10,SUB
3837,.hack//roots,Ep 26/26,"SUB
DUB"
3838,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",Ep 1/1,SUB
3839,Miyori's Forest,Ep 1/1,SUB
3840,Meiji Tokyo Renka,Ep 12/12,"SUB
DUB"
3841,Macross 7: The Movie - The Galaxy is Calling Me,Ep Full,SUB
3842,Lupin III: Hemingway Paper no Nazo,Ep 1/1,"SUB
DUB"
3843,Key the Metal Idol,Ep 15/15,"SUB
DUB"
3844,Shutsugeki! Machine Robo Rescue,Ep 53/53,"SUB
DUB"
3845,Rewrite,Ep 13/13,SUB
3846,Re:ZERO PETIT,Ep 14/14,SUB
3847,Pretty Rhythm: Dear My Future,Ep 51/51,SUB
3848,Osomatsu-kun (1988),Ep 86/86,SUB
3849,One Punch Man 2nd Season Commemorative Special,Ep 1/1,SUB
3850,Ninja Girl & Samurai Master: Episode 0,Ep 1/1,SUB
3851,We Rent Tsukumogami,Ep 12/12,SUB
3852,Tsukipro The Animation,Ep 13/13,SUB
3853,I'm Gonna Be an Angel!,Ep 26/26,SUB
3854,KADO: The Right Answer - Ninovo,Ep 1/1,"SUB
DUB"
3855,We Without Wings – Under the Innocent Sky,Ep 12/12,"SUB
DUB"
3856,Nobunagun,Ep 13/13,"SUB
DUB"
3857,Mikagura School Suite,Ep 12/12,"SUB
DUB"
3858,Lupin III: Napoleon's Dictionary,Ep 1/1,"SUB
DUB"
3859,Lostorage incited WIXOSS,Ep 12/12,SUB
3860,Franz Kafka's A Country Doctor,Ep Full,SUB
3861,Hatsukoi Limited Shorts,Ep 6/6,SUB
3862,Kemono Michi: Rise Up,Ep 12/12,"SUB
DUB"
3863,Harukana Receive,Ep 12/12,"SUB
DUB"
3864,Eureka Seven: Astral Ocean,Ep 24/24,"SUB
DUB"
3865,Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,Ep 1/1,SUB
3866,Dragon Ball Z: Dead Zone,Ep Full,"SUB
DUB"
3867,"So, I Can't Play H! (OVA)",Ep 1/1,SUB
3868,White Cat Legend,Ep 12/12,SUB
3869,Concrete Revolutio,Ep 13/13,"SUB
DUB"
3870,Beet the Vandel Buster Excellion,Ep 25/25,SUB
3871,Bludgeoning Angel Dokuro-chan 2,Ep 2/2,"SUB
DUB"
3872,Nakanohito Genome [Jikkyouchuu]: Knots of Memories,Ep 1/1,"SUB
DUB"
3873,The Disappearance of Nagato Yuki-chan: I Cannot Let Summer Break End,Ep 1/1,SUB
3874,The Disappearance of Nagato Yuki-chan,Ep 16/16,"SUB
DUB"
3875,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,Ep 12/12,"SUB
DUB"
3876,Miyuki,Ep 37/37,SUB
3877,Midnight occult civil servants,Ep 12/12,SUB
3878,Maruruk's Everday,Ep 4/4,SUB
3879,Magia Record: Puella Magi Madoka Magica Side Story,Ep 13/13,"SUB
DUB"
3880,Kiss x Sis (TV),Ep 12/12,SUB
3881,Hell Teacher Nube: 0 a.m. Nube Dead,Ep Full,SUB
3882,Wish Upon the Pleiades,Ep 12/12,SUB
3883,Grenadier: The Beautiful Warrior,Ep 12/12,"SUB
DUB"
3884,Granblue Fantasy The Animation,Ep 13/13,"SUB
DUB"
3885,Godzilla: City on the Edge of Battle,Ep Full,SUB
3886,Dragon Crisis!,Ep 12/12,SUB
3887,Crayon Shin-chan Movie 07: Explosion! The Hot Spring's Feel Good Final Battle,Ep Full,SUB
3888,The Super Dimension Century Orguss 02,Ep 6/6,"SUB
DUB"
3889,Cheer Boys!!,Ep 12/12,"SUB
DUB"
3890,Bonobono,Ep 48/48,SUB
3891,Blue Drop,Ep 13/13,"SUB
DUB"
3892,Bananya,Ep 13/13,"SUB
DUB"
3893,Beyblade,Ep 51/51,SUB
3894,Aokana: Four Rhythm Across the Blue,Ep 12/12,DUB
3895,Ah My Buddha Katsu,Ep 12/12,"SUB
DUB"
3896,.hack//G.U. Returner,Ep 1/1,SUB
3897,Tokyo Babylon,Ep 2/2,"SUB
DUB"
3898,Teekyu 5,Ep 12/12,SUB
3899,"Say ""I Love You"".: Mei and Marshmallow Meow",Ep 10/10,SUB
3900,Corrector Yui,Ep 52/52,SUB
3901,Code:Breaker,Ep 13/13,"SUB
DUB"
3902,Chuubyou Gekihatsu Boy Special,Ep 1/1,SUB
3903,Candy Boy: EX02 - Theory of Happiness Sharing,Ep 1/1,SUB
3904,Blade of the Immortal,Ep 13/13,"SUB
DUB"
3905,[RAW] Around the World with Willy Fog,Ep 26/26,
3906,Aim for the Ace! 2,Ep 13/13,SUB
3907,Aim for the Ace! The Movie (1979),Ep Full,SUB
3908,Yu Yu Hakusho: The Movie,Ep Full,"SUB
DUB"
3909,Yu-Gi-Oh! Arc-V,Ep 148/148,"SUB
DUB"
3910,Yo-kai Watch Shadowside: The Return of the Oni King,Ep Full,SUB
3911,Encouragement of Climb,Ep 12/12,SUB
3912,Touken Ranbu - Hanamaru,Ep 12/12,"SUB
DUB"
3913,The Testament of Sister New Devil 2nd Season: Burst OVA,Ep 1/1,"SUB
DUB"
3914,Sekai Meisaku Douwa: Mori wa Ikiteiru,Ep Full,"SUB
DUB"
3915,Sakamoto Desu ga? Special,Ep 1/1,SUB
3916,Saint Seiya: Saishuu Seisen no Senshi-tachi,Ep Full,SUB
3917,Precure All Stars GoGo Dream Live!,Ep 1/1,SUB
3918,Overlord: Ple Ple Pleiades 3,Ep 13/13,SUB
3919,The Brave of Gold Goldran,Ep 48/48,
3920,Ghost Slayers Ayashi: Inferno,Ep 5/5,DUB
3921,KADO: The Right Answer,Ep 12/12,"SUB
DUB"
3922,Pokemon The Movie 09: Pokemon Ranger and the Temple of the Sea,Ep Full,"SUB
DUB"
3923,No-Rin,Ep 12/12,"SUB
DUB"
3924,Ninja Hattori-kun,Ep 224/224,DUB
3925,Mermaid's Scar,Ep 1/1,SUB
3926,Macross Dynamite 7,Ep 4/4,SUB
3927,Lupin III: The Columbus Files,Ep 1/1,"SUB
DUB"
3928,Kure-nai OVA,Ep 2/2,SUB
3929,Here is Greenwood,Ep 6/6,"SUB
DUB"
3930,Kobato.: Hajimete no Kobato.,Ep 8/8,SUB
3931,Girl Meets Girl,Ep 1/1,"SUB
DUB"
3932,Voltron: Defender of the Universe,Ep 52/52,SUB
3933,Samurai Girls,Ep 12/12,SUB
3934,El Hazard: The Alternative World,Ep 13/13,"SUB
DUB"
3935,Domestic Girlfriend,Ep 12/12,"SUB
DUB"
3936,Arjuna,Ep 13/13,"SUB
DUB"
3937,Buzzer Beater 2nd Season,Ep 13/13,SUB
3938,Black Lagoon Omake,Ep 7/7,SUB
3939,Nande Koko ni Sensei ga!? Special,Ep 1/1,"SUB
DUB"
3940,Innocent Venus,Ep 12/12,SUB
3941,Heroman,Ep 26/26,SUB
3942,Cells at Work!,Ep 1/1,DUB
3943,Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,Ep Full,SUB
3944,The Galaxy Railways 2: Eternal Divergence,Ep 24/24,SUB
3945,Freezing Vibration,Ep 12/12,"SUB
DUB"
3946,Fate/kaleid liner Prisma☆Illya Movie: Oath Under Snow Special,Ep 1/1,SUB
3947,Dragon Ball Z: Broly – Second Coming,Ep Full,"SUB
DUB"
3948,Dragon Ball Movie 01: Curse of the Blood Rubies,Ep Full,"SUB
DUB"
3949,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,Ep Full,SUB
3950,Blue Seed Omake,Ep 14/14,
3951,Fairies Albums,Ep 12/12,SUB
3952,Yozakura Quartet,Ep 12/12,SUB
3953,Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,Ep Full,SUB
3954,Katana Maidens: Toji no Miko,Ep 24/24,"SUB
DUB"
3955,The Testament of Sister New Devil,Ep 12/12,"SUB
DUB"
3956,Shin Koihime†Musou,Ep 12/12,SUB
3957,Angels of Death,Ep 16/16,"SUB
DUB"
3958,Saint Seiya the Movie: Evil Goddess Eris,Ep Full,SUB
3959,Yama no Susume: Second Season Specials,Ep 2/2,SUB
3960,No Game No Life Specials,Ep 6/6,SUB
3961,Monster Rancher 2nd Season (2000),Ep 25/25,DUB
3962,Mobile Suit V Gundam,Ep 51/51,SUB
3963,Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,Ep 3/3,SUB
3964,Beyblade: Metal Masters,Ep 51/51,DUB
3965,Magical Princess Minky Momo,Ep 63/63,SUB
3966,Holmes of Kyoto,Ep 12/12,SUB
3967,Kanon (Special): Kazahana,Ep 1/1,SUB
3968,Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,Ep 1/1,SUB
3969,Ichiban Ushiro no Daimaou Specials,Ep 6/6,SUB
3970,Kirby: Right Back at Ya!,Ep 70/100,SUB
3971,Hinako Note,Ep 12/12,SUB
3972,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,Ep Full,"SUB
DUB"
3973,Fate/Prototype,Ep 1/1,SUB
3974,Dragon Ball Z: The Tree of Might,Ep Full,"SUB
DUB"
3975,Digimon Fusion,Ep 30/30,SUB
3976,Chibi☆Devi!,Ep 75/75,SUB
3977,C³ - CubexCursedxCurious Special,Ep 1/1,SUB
3978,Berserk: Season II (2017),Ep 12/12,"SUB
DUB"
3979,Battle Spirits: Sword Eyes Gekitouden,Ep 21/21,SUB
3980,Bastard!!,Ep 6/6,"SUB
DUB"
